time user fileID
1622482496 m4lwhere 4
1622485614 m4lwhere 4
1622486215 m4lwhere 4
1622486218 m4lwhere 1
1622486221 m4lwhere 1
1622678056 m4lwhere 5
1622678059 m4lwhere 6
1622679247 m4lwhere 1
1622680894 m4lwhere 5
1622708567 m4lwhere 4
1622708573 m4lwhere 4
1622708579 m4lwhere 5
1622710159 m4lwhere 4
1622712633 m4lwhere 4
1622715674 m4lwhere 24
1622715842 m4lwhere 23
1623197471 m4lwhere 25
1623200269 m4lwhere 25
1623236411 m4lwhere 23
1623236571 m4lwhere 26
1623238675 m4lwhere 23
1623238684 m4lwhere 23
1623978778 m4lwhere 32
1628441431 admin123 32
1628441762 admin123 33
1628441791 admin123 33
1628441823 admin123 32
1628442264 admin123 34
1628442448 admin123 32
1628442951 admin123 /var/www/out.log
1628442964 admin123 /../../../../../var/www/out.log
1628442976 admin123 /../../../../../etc/passwd
1628442980 admin123 /../../../../../var/www/out.log
1628442980 admin123 /var/www/out.log
1628443335 admin123 1
1628443376 admin123 4
1628443394 admin123 5
1628443465 admin123 5
1628443476 admin123 6
1628443496 admin123 23
1628443521 admin123 24
1628443550 admin123 25
1628443557 admin123 26
1628443565 admin123 32
1628443572 admin123 33
